content_id,genre_id
1057,35
1057,10751
1058,18
1059,10762
1060,18
1060,9648
1060,10759
1061,18
1061,9648
1062,18
1062,35
1063,18
1063,35
1064,35
1064,18
1065,80
1065,18
1065,9648
1066,10765
1066,35
1066,18
1067,18
1067,35
1068,10764
1069,35
1069,18
1069,10751
1070,18
1070,35
1071,18
1071,35
1072,18
1072,80
1072,9648
1072,10768
1073,18
1073,10765
1074,18
1074,35
1075,10764
1076,35
1076,18
1077,9648
1077,18
1077,80
1077,35
1078,16
1078,10759
1078,35
1079,18
1080,80
1080,18
1081,18
1081,10765
1082,18
1082,35
1083,80
1083,9648
1083,10765
1083,18
1084,35
1085,16
1085,10762
1085,10759
1085,35
1085,10765
1086,18
1086,35
1086,9648
1087,18
1087,35
1088,18
1089,16
1089,10762
1089,10759
1089,35
1089,10765
1090,10764
1091,18
1091,35
1091,10765
1092,18
1092,10766
1093,35
1093,18
1094,18
1095,18
1095,35
1095,9648
1096,18
1096,35
1097,18
1098,10764
1098,10767
1098,35
1099,18
1100,35
1100,18
1100,10765
1101,35
1101,18
1102,35
1102,18
1102,16
1103,18
1103,9648
1103,80
1104,18
1105,35
1105,18
1106,10765
1106,35
1106,9648
1107,10759
1107,18
1108,18
1109,18
1109,10759
1110,18
1111,35
1111,18
1111,10765
1112,18
1112,10765
1113,18
1114,18
1114,35
1115,9648
1115,35
1115,18
1116,10764
1117,10764
1118,35
1118,9648
1118,10765
1118,18
1119,10764
1120,35
1121,18
1121,35
1121,10765
1122,18
1123,35
1123,18
1123,9648
1124,35
1125,80
1125,18
1125,9648
1126,35
1126,18
1127,18
1127,10765
1128,80
1128,9648
1128,18
1129,18
1129,80
1130,80
1130,18
1131,10759
1131,35
1131,18
1131,9648
1131,80
1132,18
1132,9648
1133,99
1134,18
1134,35
1135,35
1135,18
1136,10764
1137,18
1138,18
1138,35
1139,18
1139,35
1140,10764
1141,80
1141,18
1141,9648
1142,80
1143,18
1144,35
1144,18
1144,9648
1144,10765
1145,35
1145,9648
1145,10765
1146,18
1147,9648
1147,80
1147,35
1147,18
1148,18
1149,18
1149,10768
1150,18
1150,10768
1150,9648
1151,18
1152,18
1152,35
1153,35
1153,10751
1153,18
1154,18
1154,10759
1154,10765
1155,35
1155,10764
1156,35
1156,18
1157,18
1157,10768
1158,10765
1158,35
1158,18
1159,18
1159,80
1160,10764
1160,80
1161,35
1161,18
1162,18
1163,10764
1164,10764
1165,18
1165,10759
1165,9648
1166,18
1166,35
1167,35
1167,18
1168,10759
1168,18
1169,35
1169,18
1170,35
1170,18
1171,18
1172,10765
1172,18
1172,9648
1172,10759
1173,18
1174,10764
1175,18
1176,10764
1177,35
1177,18
1178,18
1178,80
1178,9648
1179,18
1179,35
1180,18
1180,80
1180,9648
1181,18
1182,18
1182,9648
1183,10759
1183,18
1184,18
1185,9648
1185,10765
1186,18
1186,10751
1187,18
1187,35
1187,80
1188,35
1188,18
1189,18
1190,35
1190,18
1191,18
1192,35
1193,18
1194,35
1194,18
1195,10764
1196,18
1196,35
1197,18
1198,35
1199,18
1199,10765
1199,35
1200,18
1200,35
1201,18
1202,18
1203,35
1203,10765
1203,18
1203,80
1204,18
1205,18
1206,18
1207,10762
1207,16
1208,10765
1208,35
1208,18
1209,35
1209,18
1210,18
1210,10765
1211,18
1212,35
1212,18
1213,16
1213,10759
1213,35
1213,10762
1213,10765
1214,10759
1214,80
1214,9648
1214,10765
1214,18
1215,35
1215,18
1216,35
1216,18
1217,10764
1218,18
1219,35
1220,18
1221,16
1221,10762
1222,18
1222,10768
1223,9648
1223,18
1223,10765
1223,35
1224,18
1225,18
1225,80
1225,9648
1226,35
1226,18
1227,35
1227,10765
1227,9648
1227,18
1228,18
1228,10751
1229,35
1229,18
1230,80
1230,18
1231,18
1231,35
1232,18
1233,9648
1233,18
1234,18
