title,content_type,genre_ids,release_date,vote_average,vote_count,popularity,tmdb_id
용의자,영화,"[28, 53]",2013-12-24,6.909,215,2.8526,242454
히트맨,영화,"[28, 35]",2020-01-22,7.04,88,2.8121,604362
82년생 김지영,영화,[18],2019-10-23,7.4,116,3.1512,586048
지금은맞고그때는틀리다,영화,"[18, 10749]",2015-09-24,7.009,167,2.9603,354275
백야행: 하얀 어둠 속을 걷다,영화,"[9648, 10749, 53]",2009-11-19,6.174,46,2.9528,51393
마당을 나온 암탉,영화,"[16, 10751, 12, 18]",2011-07-28,7.8,146,2.9111,89623
동네사람들,영화,"[28, 80, 53, 9648]",2018-11-07,7.6,114,3.1761,549590
원더랜드,영화,"[878, 18]",2024-06-05,7.1,125,2.7129,635996
리벤져,영화,"[28, 80, 53]",2018-12-06,5.611,176,2.9648,557968
고지전,영화,"[18, 28, 10752]",2011-07-20,7.178,205,2.9333,79553
플란다스의 개,영화,"[35, 80, 18]",2000-02-19,6.759,311,2.9989,21531
전우치,영화,"[12, 28, 35, 14]",2009-12-23,6.8,147,2.7812,40171
타워,영화,"[28, 18]",2012-12-25,7.011,321,2.8518,154030
창궐,영화,"[28, 27, 18, 14]",2018-10-25,6.781,240,3.1281,537190
악마가 이사왔다,영화,"[10749, 35, 9648]",2025-08-13,7.1,33,2.7339,873797
밤의 해변에서 혼자,영화,[18],2017-03-23,6.566,159,2.7698,434773
피끓는 청춘,영화,"[10749, 18, 35]",2014-01-22,7.073,116,2.7194,252067
옥수역귀신,영화,"[27, 9648]",2023-04-19,6.5,93,2.8257,844386
남산의 부장들,영화,"[18, 53]",2020-01-22,7.096,156,2.962,566397
연애 빠진 로맨스,영화,"[10749, 35]",2021-11-24,6.789,45,2.9763,736545
여교사,영화,[18],2017-01-04,5.4,29,2.3952,428395
사흘,영화,"[27, 9648]",2024-11-14,6.3,37,2.2978,660355
방법: 재차의,영화,"[53, 9648, 27]",2021-07-28,7.417,150,2.9823,724885
미녀는 괴로워,영화,"[18, 35, 10749]",2006-12-14,6.8,353,2.7682,18377
남자가 사랑할 때,영화,"[18, 10749]",2014-01-22,7.145,55,2.7029,258313
친구 2,영화,"[18, 28, 80]",2013-11-14,6.6,34,3.3857,238010
파일럿,영화,[35],2024-07-31,7.453,53,2.8683,965094
브로큰,영화,"[9648, 53]",2025-02-05,6.3,39,2.6952,766369
마약왕,영화,"[80, 28, 18]",2018-12-19,6.311,167,3.0038,497370
조폭 마누라 3,영화,"[35, 28, 18]",2006-12-28,5.906,53,3.3592,42324
건축학개론,영화,"[35, 10749]",2012-03-22,7.297,143,2.4081,107235
"광해, 왕이 된 남자",영화,"[18, 36]",2012-09-13,7.7,177,2.5679,133200
기적,영화,[18],2021-09-15,7.378,74,2.9735,730823
펜트하우스 코끼리,영화,"[10749, 18]",2009-11-05,4.864,22,2.3943,40099
클로젯,영화,"[27, 53]",2020-02-05,7.146,206,2.8974,571625
관상,영화,"[18, 36]",2013-09-11,6.953,106,2.4478,220176
사자,영화,"[28, 27, 53]",2019-07-31,6.721,292,2.8852,571627
점박이: 한반도의 공룡 3D,영화,"[16, 12]",2012-01-26,6.448,29,2.6663,128475
비공식작전,영화,"[28, 53, 18]",2023-08-02,6.653,59,2.5022,581395
유령,영화,"[28, 53, 80]",2023-01-18,6.9,70,3.2,715253
블랙핑크: 세상을 밝혀라,영화,"[99, 10402]",2020-10-14,8.166,528,2.6034,740996
도희야,영화,[18],2014-05-22,6.9,189,2.4919,266058
강철비,영화,"[28, 53]",2017-12-14,7.083,217,3.1653,435841
주홍글씨,영화,"[53, 9648, 80, 10749]",2004-10-29,6.4,49,2.2518,56485
연의 편지,영화,"[16, 18, 9648, 12]",2025-10-01,7.526,19,2.4127,717787
아라한 장풍 대작전,영화,"[14, 28, 35, 53]",2004-04-30,6.604,134,2.4471,13970
도굴: 패왕총,영화,[],2020-12-04,0,0,2.5071,994305
실미도,영화,"[28, 18]",2003-12-24,7.121,136,2.3318,19644
지푸라기라도 잡고 싶은 짐승들,영화,"[9648, 53, 80, 18]",2020-02-19,7.066,280,2.6605,571648
물괴,영화,"[28, 27, 18, 14]",2018-09-12,6.485,204,2.2811,523593
노란문: 세기말 시네필 다이어리,영화,[99],2023-10-06,6.9,9,2.5748,1056099
"협녀, 칼의 기억",영화,"[18, 36, 28]",2015-08-13,6.592,109,2.4788,348689
히트맨 2,영화,"[28, 35]",2025-01-22,6.227,22,2.5828,1129923
화이: 괴물을 삼킨 아이,영화,"[28, 53, 80]",2013-10-09,7.4,258,2.6843,214910
도굴,영화,"[35, 12, 80]",2020-11-04,7.163,40,2.2309,605680
검은 사제들,영화,"[9648, 53, 27]",2015-11-05,6.9,140,2.1665,360551
6시간 후 너는 죽는다,영화,"[53, 9648]",2024-10-16,6.5,50,3.0788,1147266
지금 사랑하는 사람과 살고 있습니까?,영화,"[18, 10749]",2007-08-15,5.292,12,2.3657,41186
압꾸정,영화,[35],2022-11-30,5.5,25,2.4188,717090
뉴 노멀,영화,"[27, 53, 9648]",2023-11-08,6.4,12,2.4834,987072
시동,영화,"[18, 28, 35]",2019-12-18,6.9,74,2.5251,581530
봉오동 전투,영화,"[36, 28, 10752]",2019-08-07,7.538,53,2.615,573791
내부자들,영화,"[80, 18]",2015-11-19,6.976,147,2.6495,293413
미스터 주: 사라진 VIP,영화,"[35, 28, 14]",2020-01-22,7,35,3.272,572197
뺑반,영화,"[80, 28]",2019-01-30,7.2,80,2.5488,568320
결백,영화,"[80, 53]",2020-06-10,7.724,107,2.8623,602296
스위치,영화,"[35, 18, 14]",2023-01-04,6.632,38,2.6419,773910
연가시,영화,"[53, 18]",2012-07-05,6.559,119,2.6633,121491
윗집 사람들,영화,[35],2025-12-03,5.7,10,2.6681,1400501
차이나타운,영화,"[18, 53]",2015-04-29,6.987,114,2.4924,336744
도어락,영화,"[53, 80, 9648]",2018-12-05,7.426,175,2.6343,563103
비스트,영화,"[80, 28, 53, 9648]",2019-06-26,6.716,104,2.1874,575754
기묘한 가족,영화,"[35, 27, 18]",2019-02-13,6.796,93,2.6956,572151
반드시 잡는다,영화,"[53, 80, 18, 9648]",2017-11-29,6.68,103,2.0844,488621
